system:index,count,date,max,mean,median,min,month,p25,p5,p75,p95,stdDev,unit,variable,year,.geo
200001,119635,2000-01-01,4.170000076,-0.799248089,-1.40568031,-7.010000229,1,-2.285220645,-3.784489692,1.15523113,2.715868255,2.101025783,unitless,PDSI,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200002,119635,2000-02-01,3,-1.594592111,-1.784484918,-7.679999828,2,-2.654970188,-4.346044373,-0.969423711,1.654448715,1.774136158,unitless,PDSI,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200003,119635,2000-03-01,2.539999962,-1.489569219,-1.594685238,-8.319999695,3,-2.904913399,-4.53257597,0.407460993,1.778780842,1.96728151,unitless,PDSI,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200004,119635,2000-04-01,2.269999981,-1.351411595,-1.4049448,-7.989999771,4,-2.470240208,-4.154882149,-0.405688839,1.595431112,1.740157961,unitless,PDSI,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200005,119635,2000-05-01,2.140000105,-0.979684323,-1.094496658,-7.190000057,5,-2.21983976,-3.7187762,0.780005852,1.404596389,1.699731512,unitless,PDSI,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200006,119635,2000-06-01,2.539999962,-0.996616492,-1.095713103,-7.269999981,6,-2.344890126,-3.968057705,0.845560317,1.528486124,1.846062254,unitless,PDSI,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200007,119635,2000-07-01,4.079999924,-0.289242691,0.53366083,-6.869999886,7,-2.154350028,-3.969166408,1.530684134,2.716055588,2.19949715,unitless,PDSI,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200008,119635,2000-08-01,4.869999886,0.505771221,1.216299484,-5.360000134,8,-1.284975914,-2.535300711,2.029946806,3.15395358,1.921464579,unitless,PDSI,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200009,119635,2000-09-01,4.880000114,0.873012688,1.405581702,-4.800000191,9,-0.904561172,-2.154359997,2.280679582,3.215359283,1.789789987,unitless,PDSI,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200010,119635,2000-10-01,4.820000172,0.791302396,1.280787372,-4.769999981,10,-0.970288221,-2.343923803,2.214572548,3.403940784,1.867286459,unitless,PDSI,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200011,119635,2000-11-01,4.78000021,-0.006959138,-0.093925415,-4.679999828,11,-1.595134706,-2.844216502,1.594608908,2.846178145,1.901281883,unitless,PDSI,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200012,119635,2000-12-01,4.099999905,-0.892331998,-1.469809989,-5.369999886,12,-2.153553998,-3.470101555,0.965407792,2.213133967,1.885742345,unitless,PDSI,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200101,119635,2001-01-01,3.539999962,-1.483077812,-1.971231298,-6.420000076,1,-2.905196959,-4.344383341,0.715716927,1.845478289,2.036638257,unitless,PDSI,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200102,119635,2001-02-01,3.079999924,-2.379610231,-2.595563289,-6.900000095,2,-3.593295626,-4.843612032,-1.535374221,1.404856087,1.803009271,unitless,PDSI,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200103,119635,2001-03-01,3.440000057,-2.357887418,-2.285026654,-7,3,-3.534808264,-5.154593404,-1.53563444,0.965335369,1.757077048,unitless,PDSI,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200104,119635,2001-04-01,2.880000114,-2.523657767,-2.34466339,-6.480000019,4,-3.535328349,-5.344124347,-1.593881062,0.593188402,1.604697655,unitless,PDSI,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200105,119635,2001-05-01,3.569999933,-1.743432926,-1.905517964,-7.230000019,5,-3.785757464,-5.468655938,0.845227621,1.775649495,2.437023652,unitless,PDSI,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200106,119635,2001-06-01,3.890000105,-0.746221879,-1.22119223,-6.5,6,-3.095043775,-4.784891544,2.030513338,3.029151387,2.703862663,unitless,PDSI,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200107,119635,2001-07-01,4.550000191,-0.073690796,0.965816625,-6.519999981,7,-2.470278427,-4.40495784,2.345563197,3.345755536,2.665306712,unitless,PDSI,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200108,119635,2001-08-01,5.400000095,0.170527816,1.655960786,-6.929999828,8,-2.655606392,-5.034532348,2.654619974,3.965553604,3.047150451,unitless,PDSI,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
