year,Tmax,Precip,Wind,PDSI,Soil,AET,counts,ab,oni_djf,oni_mam,oni_jja,pdo_djf,pdo_mam,pdo_jja,n70,area70,n70_lightning,SH
2000,15.96493668,78.6832766775,2.652180359,-0.43994307125,46.339833255,75.09444564710235,1526,,-1.66,-0.81,-0.55,-1.5893333333333337,-0.503,-0.8416666666666668,22,15180.4,14,0.0057187367310834
2001,16.40943623,86.1936889475,2.77363023525,-0.59820444625,45.1963183375,73.62870626785072,1291,,-0.68,-0.34,-0.08,-0.088,-0.559,-1.172,12,8000.0,7,0.0057907347010259
2002,16.5297324575,65.5131063225,2.874829269,-0.222675501,44.48496344,71.59697391666894,1772,,-0.15,0.2,0.79,-0.7456666666666667,-0.8569999999999999,-0.2806666666666667,14,5995.18,6,0.0055849763171197
2003,17.3595964625,65.88843908,2.75295702725,-0.7030294945,40.653603325,72.89168490089556,2457,,0.92,-0.04,0.08,1.2206666666666666,0.584,0.463,122,261037.42,93,0.0056906943933405
2004,17.989433982500003,63.9721590475,2.39037354475,-2.63558110075,35.834251695,72.72693008111565,2404,,0.37,0.17,0.47,-0.2963333333333333,0.2403333333333333,0.0553333333333333,93,216445.4,87,0.0064288937684695
2005,17.189975775,80.638222,2.564573495,-0.61798136625,41.391843235,79.5467164966802,994,,0.64,0.43,-0.06,-0.3156666666666667,0.7403333333333334,0.1336666666666666,29,33232.7,21,0.0061449230062837
2006,17.7933337975,62.1859419075,2.6194440915,-1.74400034925,35.2779947625,68.07360082973808,2560,,-0.85,-0.37,0.1,0.1613333333333333,-0.269,0.0066666666666666,100,134655.7,78,0.0058342102495192
2007,17.0858229925,69.81704428500001,2.5052079565,0.346858565,47.6989476125,75.73116104288921,1607,,0.66,-0.32,-0.56,-0.509,-0.4136666666666667,0.302,30,27509.0,21,0.0060128273437093
2008,16.906196505,82.2856270675,2.6981723175,0.70942783975,49.826178545,82.43443047593419,2025,13240.0,-1.64,-1.01,-0.37,-1.3036666666666663,-1.4313333333333331,-1.4723333333333333,23,10610.9,13,0.0058153245481531
2009,17.7575607775,61.300215955000006,2.60566422975,-0.16948613625,41.462835025,74.72400415068458,3049,247419.0,-0.85,-0.33,0.45,-1.5616666666666668,-1.5643333333333331,-0.359,136,241922.27,114,0.005911544303048
2010,17.1627491975,65.59875037,2.67258362125,-1.79509132325,39.4284917675,70.92489747606791,1689,337149.0,1.5,0.35,-1.05,-0.0643333333333333,-0.0236666666666666,-1.3323333333333334,95,333933.8,80,0.0056948883709255
2011,16.3990119375,82.6697435075,2.624695682,1.03503520125,53.211752090000005,79.2375444105365,646,12604.0,-1.31,-0.62,-0.43,-1.532333333333333,-1.035,-2.041,5,11430.0,2,0.0058432536669221
2012,17.214322137499998,75.580746025,2.6871317885000003,1.09483363775,46.4455639975,73.41761740704028,1640,102122.0,-0.72,-0.36,0.3,-1.8126666666666664,-1.2173333333333334,-1.7566666666666666,44,98949.3,33,0.0059511088751878
2013,18.114050895,76.3857180325,2.48515081975,-0.06435863775,48.8772805225,81.73378178533783,1867,18298.0,-0.29,-0.19,-0.35,-1.1263333333333334,-0.6806666666666668,-1.2026666666666668,30,15287.7,18,0.0064649960575233
2014,18.12340713,72.98350626749999,2.5020320075,0.1949961169999999,46.479446115,78.17129742396807,1469,369168.0,-0.28,0.15,0.1,-0.6833333333333332,0.7446666666666667,0.086,64,366243.61,46,0.0061101469730159
2015,18.8280746825,60.291150635,2.66018869775,-2.558371101,31.6782454375,70.88784635345708,1863,280605.0,0.69,0.81,1.57,1.4236666666666666,0.8543333333333333,0.9943333333333334,100,277837.37,77,0.0061930510098366
2016,18.224818775,69.206570495,2.6751600705,-2.19141268225,37.188793455,76.07027689682793,1068,100366.0,2.63,1.05,-0.31,0.5273333333333333,1.6336666666666666,0.4796666666666667,38,98337.4,9,0.0064894888032522
2017,18.02709723,74.67164979,2.8062690635,0.1430537635,44.338180425,76.09835823510272,1349,1216053.0,-0.19,0.31,0.19,-0.1013333333333333,0.235,-0.1886666666666666,99,1211903.99,77,0.0059611998812425
2018,18.2746957225,61.09766338,2.807159265,-1.0094694225,40.9091622975,76.65730934484904,2089,1354284.0,-0.77,-0.39,0.14,-0.1953333333333333,-0.5796666666666667,-0.3466666666666667,247,1347912.67,223,0.0062147626485073
2019,18.0003989975,80.0402605625,2.4987030165,-1.866864906,43.1829347825,77.98618399187791,834,21138.0,0.89,0.77,0.33,-0.4023333333333332,0.0693333333333333,0.1286666666666666,22,20244.96,9,0.0063388165194271
2020,17.2161936975,97.0470943025,2.786980079,2.563097021,58.3361942275,83.9155375954058,668,14536.0,0.64,0.3,-0.36,-0.8016666666666666,-1.2113333333333334,-1.101,9,13372.0,5,0.0061471621113756
2021,18.55096369,67.19870316500001,2.7180274065,1.17150875975,40.6084320375,73.99379280849118,1649,869300.0,-0.91,-0.55,-0.35,-1.032333333333333,-1.5983333333333334,-1.441,154,862148.5,129,0.0063515013861182
2022,18.053465845,74.836728315,2.642220995,2.30556302575,50.42836664,76.92665804839713,1783,135235.0,-0.82,0.27,-0.76,-2.185,-1.9146666666666663,-1.859,82,130539.13,64,0.0064273481511873
2023,19.4507930925,62.29007323249999,2.57289025625,-2.92579943075,33.15121316,73.92935908231284,2280,2840104.0,-0.54,0.27,1.12,-1.5243333333333335,-2.158666666666667,-2.146666666666667,269,2829114.98,237,0.0066506261261458
2024,18.09449974,71.618601245,2.721580506,-3.35965361825,36.8014239225,71.54789959330455,1725,1081159.0,1.92,0.82,0.08,-1.4146666666666663,-1.8233333333333333,-2.3143333333333334,153,1077303.31,138,0.0061656300446864
