system:index,count,date,max,mean,median,min,month,p25,p5,p75,p95,stdDev,unit,variable,year,.geo
200001,119635,2000-01-01,233.1000061,44.09737727,35.45244795,4.900000095,1,19.4463944,7.268876625,56.45781689,115.4128879,35.07456265,mm,SOIL,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200002,119635,2000-02-01,233.1000061,44.21489927,35.45303713,4.900000095,2,19.44607351,7.268876625,56.45769733,115.4133585,35.24184497,mm,SOIL,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200003,119635,2000-03-01,238.6999969,47.51840386,37.45178876,4.900000095,3,20.45481727,7.267883165,61.45979775,128.4467532,38.36894064,mm,SOIL,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200004,119635,2000-04-01,238.6999969,61.35093588,51.4402463,5.5,4,35.451202,22.46571299,79.45168098,132.4296618,36.12536949,mm,SOIL,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200005,119635,2000-05-01,228.8000031,60.77726677,53.45161206,8.300000191,5,36.44704004,20.43930848,77.44017261,124.4380649,33.1211265,mm,SOIL,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200006,119635,2000-06-01,215.1999969,46.02823661,39.43252431,7.300000191,6,27.45081439,14.40469272,56.43479599,102.4249492,28.17211792,mm,SOIL,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200007,119635,2000-07-01,181.1000061,38.93141973,34.44021583,5.800000191,7,21.4660381,10.44226371,50.44058228,82.43623127,23.31387172,mm,SOIL,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200008,119635,2000-08-01,164.3999939,39.62240991,35.44481809,4.900000095,8,25.44123994,11.45258748,51.44671725,78.48184075,20.71524563,mm,SOIL,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200009,119635,2000-09-01,181.3000031,40.78702497,35.43959665,4.199999809,9,23.44622792,11.46346406,54.45049558,84.45156636,23.36022258,mm,SOIL,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200010,119635,2000-10-01,226,48.01892931,41.45699031,4,10,26.45607126,10.46459601,64.45082116,101.44822,30.01567179,mm,SOIL,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200011,119635,2000-11-01,226,48.53804123,42.44845663,4,11,27.44499766,10.46372777,64.44700842,103.418803,30.71581918,mm,SOIL,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200012,119635,2000-12-01,226,48.66828062,42.44845663,4,12,27.4454192,10.46372777,64.4470587,103.4200757,31.02932927,mm,SOIL,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
200101,119635,2001-01-01,226,48.83843501,42.44867963,4,1,27.44481199,10.46365543,64.44467688,104.4205532,31.20356508,mm,SOIL,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200102,119635,2001-02-01,226,48.84465457,42.44867963,4,2,27.44516674,10.46365543,64.44426882,104.4205532,31.21155284,mm,SOIL,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200103,119635,2001-03-01,226.6999969,52.23140824,45.45736395,4.900000095,3,29.42566374,10.46705057,69.44338577,110.4310504,32.8718745,mm,SOIL,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200104,119635,2001-04-01,238.6999969,60.30597301,53.44432029,5.5,4,34.44709608,15.4617737,78.45873024,123.4763977,35.23014459,mm,SOIL,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200105,119635,2001-05-01,228.8999939,56.10281222,49.49892191,4.900000095,5,30.45102453,13.44843538,76.44677348,119.4879968,34.23550467,mm,SOIL,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200106,119635,2001-06-01,224,50.79699154,43.45307421,4.5,6,26.45267725,10.44919936,69.44778704,112.4357144,32.90250141,mm,SOIL,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200107,119635,2001-07-01,169.8000031,39.54231575,35.45349764,4.099999905,7,21.4395761,10.41890903,53.44358438,83.44417429,23.1220837,mm,SOIL,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200108,119635,2001-08-01,201,34.34315384,29.42645957,3.700000048,8,15.44382424,8.486151578,47.44875959,77.46146343,23.4134424,mm,SOIL,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200109,119635,2001-09-01,199.1000061,33.57174287,28.46735602,3.5,9,13.45769475,7.431436426,47.45285759,79.44210515,24.52813078,mm,SOIL,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200110,119635,2001-10-01,226,44.37878091,37.44999422,3.299999952,10,19.45144503,7.422704465,61.4727664,100.4492188,31.77839558,mm,SOIL,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200111,119635,2001-11-01,226,47.59190095,40.44268684,3.299999952,11,21.44966765,8.458535119,64.44483747,111.473153,34.30033955,mm,SOIL,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200112,119635,2001-12-01,226,47.67449068,40.44249635,3.299999952,12,21.45078588,8.458780807,64.44510556,111.467421,34.48202948,mm,SOIL,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
200201,119635,2002-01-01,233.1000061,47.75345283,40.44278157,3.299999952,1,21.4503552,8.458856287,64.44515819,111.4688074,34.68918586,mm,SOIL,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200202,119635,2002-02-01,233.1000061,47.95902447,40.44440063,3.299999952,2,21.44947428,8.459111302,64.44394371,112.4473361,35.03656171,mm,SOIL,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200203,119635,2002-03-01,233.1000061,48.11006335,40.44382071,3.299999952,3,21.44954777,8.45888162,64.44318398,112.4512965,35.14231557,mm,SOIL,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200204,119635,2002-04-01,238.6999969,55.49648058,45.45003566,3.5,4,25.44032101,9.444911082,76.43527064,130.4276024,39.53851062,mm,SOIL,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200205,119635,2002-05-01,236.1999969,66.63925817,59.44224299,3.400000095,5,41.44974656,24.56838318,87.47032399,128.4300858,34.77421711,mm,SOIL,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200206,119635,2002-06-01,203.1000061,47.13844245,40.44296199,3.200000048,6,27.45249937,14.46127515,60.46165126,99.42139541,27.94405821,mm,SOIL,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200207,119635,2002-07-01,156.5,35.81128258,30.45120824,3,7,20.45984231,11.47430115,43.45512771,83.45243717,22.77697113,mm,SOIL,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200208,119635,2002-08-01,137,28.35087056,22.43819998,2.900000095,8,14.45129494,8.474922038,35.44553838,71.460811,19.62838005,mm,SOIL,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
200209,119635,2002-09-01,138.5,35.28710073,30.43825019,2.700000048,9,17.44234618,8.507003465,50.45061159,76.42183404,21.93710967,mm,SOIL,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
