bc_susc_mean,us_bp_mean
0.789401,0.002204
0.716227,0.004761
0.564206,0.006525
0.874620,0.009782
0.698580,0.006178
0.594236,0.002004
0.890360,0.002138
0.919948,0.001570
0.898976,0.001634
0.793525,0.000835
0.896610,0.004054
0.860051,0.006275
0.831432,0.006207
0.982062,0.005588
0.895890,0.008513
0.862305,0.010589
0.895813,0.013438
0.763451,0.010764
0.868585,0.010643
0.801537,0.009362
0.729523,0.004339
0.835004,0.004369
0.330118,0.000015
0.309644,0.000009
0.144668,0.000027
0.155606,0.000051
0.452692,0.000278
0.622305,0.000552
0.872381,0.001103
0.908538,0.001052
0.858840,0.004112
0.920722,0.009868
0.953252,0.006853
0.724158,0.009361
