year,month,mei,pdo,mei_lag03,pdo_lag03,mei_lag06,pdo_lag06,mei_lag09,pdo_lag09,mei_lag12,pdo_lag12
2000,1,-1.43,-2.2,,,,,,,,
2000,2,-1.25,-1.28,,,,,,,,
2000,3,-1.26,-0.66,,,,,,,,
2000,4,-1.37,-0.63,-1.43,-2.2,,,,,,
2000,5,-0.9,-0.81,-1.25,-1.28,,,,,,
2000,6,-0.94,-0.64,-1.26,-0.66,,,,,,
2000,7,-1.18,-1.51,-1.37,-0.63,-1.43,-2.2,,,,
2000,8,-0.61,-1.68,-0.9,-0.81,-1.25,-1.28,,,,
2000,9,-0.08,-1.45,-0.94,-0.64,-1.26,-0.66,,,,
2000,10,-0.36,-1.61,-1.18,-1.51,-1.37,-0.63,-1.43,-2.2,,
2000,11,-0.52,-1.04,-0.61,-1.68,-0.9,-0.81,-1.25,-1.28,,
2000,12,-0.86,0.0,-0.08,-1.45,-0.94,-0.64,-1.26,-0.66,,
2001,1,-0.79,0.48,-0.36,-1.61,-1.18,-1.51,-1.37,-0.63,-1.43,-2.2
2001,2,-0.84,-0.01,-0.52,-1.04,-0.61,-1.68,-0.9,-0.81,-1.25,-1.28
2001,3,-0.86,-0.41,-0.86,0.0,-0.08,-1.45,-0.94,-0.64,-1.26,-0.66
2001,4,-0.78,-1.18,-0.79,0.48,-0.36,-1.61,-1.18,-1.51,-1.37,-0.63
2001,5,-0.55,-1.12,-0.84,-0.01,-0.52,-1.04,-0.61,-1.68,-0.9,-0.81
2001,6,-0.52,-1.22,-0.86,-0.41,-0.86,0.0,-0.08,-1.45,-0.94,-0.64
2001,7,-0.73,-2.21,-0.78,-1.18,-0.79,0.48,-0.36,-1.61,-1.18,-1.51
2001,8,0.03,-1.68,-0.55,-1.12,-0.84,-0.01,-0.52,-1.04,-0.61,-1.68
2001,9,0.38,-1.98,-0.52,-1.22,-0.86,-0.41,-0.86,0.0,-0.08,-1.45
2001,10,-0.06,-1.91,-0.73,-2.21,-0.78,-1.18,-0.79,0.48,-0.36,-1.61
2001,11,-0.23,-1.25,0.03,-1.68,-0.55,-1.12,-0.84,-0.01,-0.52,-1.04
2001,12,-0.28,-1.12,0.38,-1.98,-0.52,-1.22,-0.86,-0.41,-0.86,0.0
2002,1,0.06,-0.42,-0.06,-1.91,-0.73,-2.21,-0.78,-1.18,-0.79,0.48
2002,2,0.09,-1.51,-0.23,-1.25,0.03,-1.68,-0.55,-1.12,-0.84,-0.01
