threshold_ha,seed,wildfire_points,pseudo_absence_points,total_points,min_distance_pseudo_to_fire_m,min_distance_among_pseudo_m,passed_20km_fire_buffer,passed_10km_pseudo_spacing,ratio_pseudo_to_fire,training_csv
70,42,1992,1992,3984,20002.3,10000.1,True,True,1.0,C:\Users\saadz\Documents\wildfire-bc-bilstm-pso\revision_c8c11\03_Training_Tables\training_thr70_seed42.csv
70,101,1992,1992,3984,20006.0,10005.4,True,True,1.0,C:\Users\saadz\Documents\wildfire-bc-bilstm-pso\revision_c8c11\03_Training_Tables\training_thr70_seed101.csv
70,202,1992,1992,3984,20006.6,10000.5,True,True,1.0,C:\Users\saadz\Documents\wildfire-bc-bilstm-pso\revision_c8c11\03_Training_Tables\training_thr70_seed202.csv
70,303,1992,1992,3984,20008.7,10000.5,True,True,1.0,C:\Users\saadz\Documents\wildfire-bc-bilstm-pso\revision_c8c11\03_Training_Tables\training_thr70_seed303.csv
70,404,1992,1992,3984,20000.4,10000.5,True,True,1.0,C:\Users\saadz\Documents\wildfire-bc-bilstm-pso\revision_c8c11\03_Training_Tables\training_thr70_seed404.csv
70,505,1992,1992,3984,20000.4,10001.6,True,True,1.0,C:\Users\saadz\Documents\wildfire-bc-bilstm-pso\revision_c8c11\03_Training_Tables\training_thr70_seed505.csv
70,606,1992,1992,3984,20002.1,10000.0,True,True,1.0,C:\Users\saadz\Documents\wildfire-bc-bilstm-pso\revision_c8c11\03_Training_Tables\training_thr70_seed606.csv
70,707,1992,1992,3984,20005.9,10001.8,True,True,1.0,C:\Users\saadz\Documents\wildfire-bc-bilstm-pso\revision_c8c11\03_Training_Tables\training_thr70_seed707.csv
70,808,1992,1992,3984,20000.5,10000.1,True,True,1.0,C:\Users\saadz\Documents\wildfire-bc-bilstm-pso\revision_c8c11\03_Training_Tables\training_thr70_seed808.csv
70,909,1992,1992,3984,20004.6,10001.1,True,True,1.0,C:\Users\saadz\Documents\wildfire-bc-bilstm-pso\revision_c8c11\03_Training_Tables\training_thr70_seed909.csv
100,42,1765,1765,3530,20000.0,10000.8,True,True,1.0,C:\Users\saadz\Documents\wildfire-bc-bilstm-pso\revision_c8c11\03_Training_Tables\training_thr100_seed42.csv
200,42,1365,1365,2730,20003.5,10000.0,True,True,1.0,C:\Users\saadz\Documents\wildfire-bc-bilstm-pso\revision_c8c11\03_Training_Tables\training_thr200_seed42.csv
