bc_susc_mean,us_bp_mean
0.789788,0.002204
0.717994,0.004761
0.557112,0.006525
0.872630,0.009782
0.683504,0.006178
0.630885,0.002004
0.891326,0.002138
0.920347,0.001570
0.899353,0.001634
0.794720,0.000835
0.898431,0.004054
0.860454,0.006275
0.832450,0.006207
0.982324,0.005588
0.895034,0.008513
0.861245,0.010589
0.895717,0.013438
0.759200,0.010764
0.869340,0.010643
0.800236,0.009362
0.741188,0.004339
0.809771,0.004369
0.327103,0.000015
0.321303,0.000009
0.141401,0.000027
0.156397,0.000051
0.452732,0.000278
0.619665,0.000552
0.870443,0.001103
0.910529,0.001052
0.850929,0.004112
0.921630,0.009868
0.957933,0.006853
0.782759,0.009361
