model,threshold,n_runs,cv_mean_pr_mean,cv_mean_pr_sd,cv_mean_roc_mean,cv_mean_roc_sd,cv_oof_pr_mean,cv_oof_pr_sd,cv_oof_roc_mean,cv_oof_roc_sd,holdout_pr_mean,holdout_pr_sd,holdout_roc_mean,holdout_roc_sd
BiLSTM,70,10,0.8610038697868305,0.003952300692335121,0.8672650033875176,0.003944633422189556,0.8578098831420131,0.004877516223144023,0.8639238933646232,0.0052297525814600804,0.8578098831420131,0.004877516223144023,0.8639238933646232,0.0052297525814600804
BiLSTM,100,1,0.8538047526483352,0.0,0.85873073020903,0.0,0.8521941736647388,0.0,0.8550945758332062,0.0,0.8521941736647388,0.0,0.8550945758332062,0.0
BiLSTM,200,1,0.8411963045570847,0.0,0.8354216419652726,0.0,0.8309715375902043,0.0,0.8281965409437938,0.0,0.8309715375902043,0.0,0.8281965409437938,0.0
BiLSTM_PSO,70,10,0.89449340173966,0.0040228154815100834,0.9008178274313855,0.0037511362587007795,0.8901225826152678,0.004963199187331591,0.8979951810253061,0.003436720415495728,0.9086681125432949,0.005776144658271998,0.9087638840728851,0.004485133984707139
BiLSTM_PSO,100,1,0.8824027157398826,0.0,0.8940982279678747,0.0,0.8805303377229894,0.0,0.8919643043439879,0.0,0.8975578952969498,0.0,0.9010181559273763,0.0
BiLSTM_PSO,200,1,0.8850302596292705,0.0,0.8918208830761877,0.0,0.8696659034615106,0.0,0.886678205799085,0.0,0.9143383049177323,0.0,0.9203688280785247,0.0
LSTM,70,10,0.8420757901349625,0.00516968566468923,0.8449146255392872,0.005051060476424214,0.8400377096189204,0.0039822509938746715,0.8414616926541507,0.0052793727898791335,0.8400377096189204,0.0039822509938746715,0.8414616926541507,0.0052793727898791335
LSTM,100,1,0.8473261945141107,0.0,0.8489762336102971,0.0,0.8478645243659271,0.0,0.8471304640916788,0.0,0.8478645243659271,0.0,0.8471304640916788,0.0
LSTM,200,1,0.8316820403862382,0.0,0.8278065653291135,0.0,0.8275955465791615,0.0,0.8280822230272779,0.0,0.8275955465791615,0.0,0.8280822230272779,0.0
LSTM_PSO,70,10,0.8926350858158378,0.003960535580765386,0.8991915112820668,0.0026488867422043826,0.8896140350048657,0.003969178007704655,0.8977049261302237,0.0022331747658548714,0.9086848302995985,0.0070902482046408125,0.9089724947148242,0.005311209945821692
LSTM_PSO,100,1,0.8780246803335336,0.0,0.8922669895148758,0.0,0.8746148295117208,0.0,0.8893922589861085,0.0,0.9026957535003282,0.0,0.9066002135991456,0.0
LSTM_PSO,200,1,0.880149309578006,0.0,0.8870301522702349,0.0,0.8683519631715546,0.0,0.883117712568262,0.0,0.9145721121936095,0.0,0.9238667459845331,0.0
