model,threshold,seed,cv_mean_pr,cv_mean_roc,cv_oof_pr,cv_oof_roc,holdout_pr,holdout_roc
BiLSTM,100,42,0.8538047526483352,0.85873073020903,0.8521941736647388,0.8550945758332062,0.8521941736647388,0.8550945758332062
BiLSTM,200,42,0.8411963045570847,0.8354216419652726,0.8309715375902043,0.8281965409437938,0.8309715375902043,0.8281965409437938
BiLSTM,70,101,0.8590124587868683,0.868236402754188,0.8614194861448481,0.8675304884195416,0.8614194861448481,0.8675304884195416
BiLSTM,70,202,0.8624613072164612,0.8689710284227502,0.8618761014593821,0.866685113949775,0.8618761014593821,0.866685113949775
BiLSTM,70,303,0.8609150042128298,0.8687185590965087,0.8588765674627311,0.8676469179932581,0.8588765674627311,0.8676469179932581
BiLSTM,70,404,0.8575732461808018,0.8691532356143672,0.8596161090862315,0.8684126566506991,0.8596161090862315,0.8684126566506991
BiLSTM,70,42,0.8619687043524534,0.8672371427949436,0.8491367658235095,0.8561901975371364,0.8491367658235095,0.8561901975371364
BiLSTM,70,505,0.864452468549864,0.8710575957010608,0.8613624021868349,0.8681315371929486,0.8613624021868349,0.8681315371929486
BiLSTM,70,606,0.8619127207085031,0.8653195630379784,0.8523754678029108,0.8592341252560443,0.8523754678029108,0.8592341252560443
BiLSTM,70,707,0.8540152623036878,0.8577651653137688,0.8521388811635886,0.8548694023080273,0.8521388811635886,0.8548694023080273
BiLSTM,70,808,0.8685472897747001,0.8713137912978967,0.8633406972954483,0.8670579657989389,0.8633406972954483,0.8670579657989389
BiLSTM,70,909,0.8591802357821352,0.8648775498417136,0.8579563529946463,0.8634805285398622,0.8579563529946463,0.8634805285398622
BiLSTM_PSO,100,42,0.8824027157398826,0.8940982279678747,0.8805303377229894,0.8919643043439879,0.8975578952969498,0.9010181559273763
BiLSTM_PSO,200,42,0.8850302596292705,0.8918208830761877,0.8696659034615106,0.886678205799085,0.9143383049177323,0.9203688280785247
BiLSTM_PSO,70,101,0.8938822994667321,0.899668144471476,0.8963998130421895,0.8998990439670328,0.9071451179601179,0.9043578930884442
BiLSTM_PSO,70,202,0.8918934487967558,0.9000183902206258,0.8859477697529802,0.8932877594716215,0.9039198933645253,0.9071934318408071
BiLSTM_PSO,70,303,0.8880197314632834,0.8941928920677329,0.8811326670186422,0.8937365929581782,0.9174335106719597,0.9146486057202939
BiLSTM_PSO,70,404,0.8949945102629269,0.9016962231941014,0.8938688609252042,0.900406974282673,0.9086443737894925,0.9099730428071275
BiLSTM_PSO,70,42,0.903703185114997,0.9093208552695111,0.8951103706277891,0.9040115028386639,0.9126791010290094,0.9160468003713605
BiLSTM_PSO,70,505,0.8953042098951048,0.9023646602318897,0.8915908126705111,0.9005421787551814,0.9055732917674704,0.9080267558528428
BiLSTM_PSO,70,606,0.8965670544010184,0.9007216820390648,0.8925015099309529,0.8986494421460944,0.8993326299371042,0.900716994217067
BiLSTM_PSO,70,707,0.8948942356721856,0.9013739398126983,0.8913172478690478,0.896293129344688,0.9173607855924462,0.9104652073243028
BiLSTM_PSO,70,808,0.892154454025032,0.8986880605768507,0.8842117057853289,0.8947668182771246,0.9055027803972503,0.9074059574277693
BiLSTM_PSO,70,909,0.8935208882985641,0.9001334264299048,0.8891450685300322,0.898358368211803,0.9090896409235731,0.9088041520788357
LSTM,100,42,0.8473261945141107,0.8489762336102971,0.8478645243659271,0.8471304640916788,0.8478645243659271,0.8471304640916788
LSTM,200,42,0.8316820403862382,0.8278065653291135,0.8275955465791615,0.8280822230272779,0.8275955465791615,0.8280822230272779
LSTM,70,101,0.8375612096253157,0.8390310248634283,0.8393333962332439,0.8374692293269463,0.8393333962332439,0.8374692293269463
LSTM,70,202,0.8442931694398613,0.8492649052513833,0.8448798904842708,0.8478066381993838,0.8448798904842708,0.8478066381993838
LSTM,70,303,0.8373140595072774,0.8398114940177562,0.8374422428923306,0.8372341020709343,0.8374422428923306,0.8372341020709343
LSTM,70,404,0.835918200311401,0.8477641214376401,0.8413943183337649,0.8485896396832309,0.8413943183337649,0.8485896396832309
LSTM,70,42,0.8446040551318363,0.8506761847299178,0.8372627338258732,0.8426693722681893,0.8372627338258732,0.8426693722681893
LSTM,70,505,0.8495497701773006,0.8486912149080303,0.8474289428923143,0.8485940498943566,0.8474289428923143,0.8485940498943566
LSTM,70,606,0.8450284416586369,0.8452567698369624,0.8384870114211727,0.8410868625102821,0.8384870114211727,0.8410868625102821
LSTM,70,707,0.8355272843389449,0.8367830693076531,0.8371287386533204,0.8342780005564426,0.8371287386533204,0.8342780005564426
LSTM,70,808,0.8484473457250988,0.849549050679172,0.8425310649977675,0.8398021050063709,0.8425310649977675,0.8398021050063709
LSTM,70,909,0.8425143654339523,0.842318420360928,0.8344887564551465,0.8370869270253706,0.8344887564551465,0.8370869270253706
LSTM_PSO,100,42,0.8780246803335336,0.8922669895148758,0.8746148295117208,0.8893922589861085,0.9026957535003282,0.9066002135991456
LSTM_PSO,200,42,0.880149309578006,0.8870301522702349,0.8683519631715546,0.883117712568262,0.9145721121936095,0.9238667459845331
LSTM_PSO,70,101,0.8848655725026816,0.8937940707764337,0.8869101099255765,0.8941691716665859,0.9022737366786513,0.9005156541873134
LSTM_PSO,70,202,0.8928386246613643,0.8992951294984246,0.8930928733451406,0.898333293011403,0.9075622275877607,0.9105043567745328
LSTM_PSO,70,303,0.8883946421703325,0.8963498421334574,0.8817727114712278,0.8955459135739746,0.9203005854341678,0.9157559758839386
LSTM_PSO,70,404,0.891827555909671,0.9001638283490389,0.8917454818771641,0.8988628963645748,0.9076192920054329,0.9120088142190803
LSTM_PSO,70,42,0.8924931255013924,0.9006822088644671,0.8851380210322067,0.8952012870760149,0.9119531765047475,0.9141899978747441
LSTM_PSO,70,505,0.8945007439627837,0.9002955461367689,0.8926983948117889,0.9010789644521862,0.9049713411495378,0.9056666032818426
LSTM_PSO,70,606,0.8996659155611741,0.9029059465230442,0.8906171929590216,0.8986137824389929,0.8989734453328851,0.9011420453909912
LSTM_PSO,70,707,0.8953694935786641,0.89958954579505,0.8924731586569487,0.8979359959920001,0.9181935941395285,0.9126240198655496
LSTM_PSO,70,808,0.8924596442584312,0.8974848997663083,0.8881461055191027,0.8969729318881954,0.9019319738731416,0.9062314739208734
LSTM_PSO,70,909,0.8939355400518831,0.9013540949776748,0.8935463004504792,0.9003350248383091,0.9130689302901315,0.9110860057493764
