variable,moran_I,moran_z,moran_p,interpretation
aet,0.0201,1.97,0.0492,random
aspect,0.1042,9.6,0.0,weak cluster
distance_f,0.8654,78.95,0.0,strong cluster
distance_1,0.2595,23.7,0.0,moderate cluster
distance_t,0.876,79.87,0.0,strong cluster
elevation,0.1244,11.53,0.0,weak cluster
lulc,0.0253,2.49,0.0127,random
ndvi,-0.0029,-0.23,0.8169,random
pdsi,0.0613,6.49,0.0,weak cluster
plan_curv,0.0488,4.55,0.0,random
precip,0.1957,18.42,0.0,moderate cluster
profile_cu,0.0487,4.55,0.0,random
rh,0.0421,4.06,0.0,random
slope,0.104,9.58,0.0,weak cluster
sm,0.0188,1.84,0.0653,random
temp,0.0341,3.32,0.0009,random
twi,0.0531,4.95,0.0,weak cluster
ws,0.0342,3.33,0.0009,random
