variable,geary_C,geary_z,geary_p
aet,0.7135,-5.772,0.001
aspect,0.8586,-6.154,0.001
distance_f,0.1426,-55.776,0.001
distance_1,0.7022,-20.568,0.001
distance_t,0.1349,-59.255,0.001
elevation,0.8444,-5.392,0.001
lulc,0.7345,-4.848,0.001
ndvi,0.8227,-3.197,0.001
pdsi,0.7139,-3.856,0.001
plan_curv,0.8932,-3.667,0.001
precip,0.6435,-8.976,0.001
profile_cu,0.8932,-3.552,0.001
rh,0.7646,-4.864,0.001
slope,0.8586,-6.551,0.001
sm,0.7149,-5.753,0.001
temp,0.771,-4.541,0.001
twi,0.9332,-2.149,0.011
ws,0.7709,-4.596,0.001
