threshold_ha,n,variable,moran_I,z,p
50,2297,aet,0.0208,2.26,0.0239
50,2297,aspect,0.1047,10.73,0
50,2297,distance_f,0.876,89.05,0
50,2297,distance_1,0.274,27.86,0
50,2297,distance_t,0.889,90.33,0
50,2297,elevation,0.1156,11.91,0
50,2297,lulc,0.0182,1.97,0.0487
50,2297,ndvi,-0.0024,-0.22,0.8286
50,2297,pdsi,0.049,5.6,0
50,2297,plan_curv,0.039,4.04,0.0001
50,2297,precip,0.2074,21.62,0
50,2297,profile_cu,0.039,4.04,0.0001
50,2297,rh,0.0322,3.43,0.0006
50,2297,slope,0.1044,10.7,0
50,2297,sm,0.0197,2.14,0.0327
50,2297,temp,0.0282,3.03,0.0024
50,2297,twi,0.059,6.1,0
50,2297,ws,0.0283,3.04,0.0024
70,2034,aet,0.0205,2.1,0.0357
70,2034,aspect,0.0986,9.52,0
70,2034,distance_f,0.868,83.09,0
70,2034,distance_1,0.2669,25.57,0
70,2034,distance_t,0.8807,84.27,0
70,2034,elevation,0.1247,12.12,0
70,2034,lulc,0.0226,2.33,0.02
70,2034,ndvi,-0.0028,-0.24,0.8129
70,2034,pdsi,0.0489,5.26,0
70,2034,plan_curv,0.0377,3.7,0.0002
70,2034,precip,0.1947,19.18,0
70,2034,profile_cu,0.0377,3.7,0.0002
70,2034,rh,0.0383,3.87,0.0001
70,2034,slope,0.0984,9.51,0
70,2034,sm,0.0193,1.98,0.0472
70,2034,temp,0.0309,3.14,0.0017
70,2034,twi,0.0533,5.21,0
70,2034,ws,0.0309,3.14,0.0017
100,1802,aet,-0.0027,-0.2,0.8424
100,1802,aspect,0.1096,9.98,0
100,1802,distance_f,0.8653,78.01,0
100,1802,distance_1,0.2646,23.88,0
100,1802,distance_t,0.878,79.11,0
100,1802,elevation,0.1067,9.8,0
100,1802,lulc,-0.003,-0.23,0.816
100,1802,ndvi,-0.0031,-0.25,0.8051
100,1802,pdsi,0.0486,4.93,0
100,1802,plan_curv,0.0393,3.64,0.0003
100,1802,precip,0.1721,16.03,0
100,1802,profile_cu,0.0393,3.64,0.0003
100,1802,rh,0.0189,1.83,0.0671
100,1802,slope,0.1083,9.86,0
100,1802,sm,-0.0038,-0.31,0.7555
100,1802,temp,0.0091,0.92,0.3601
100,1802,twi,0.0384,3.56,0.0004
100,1802,ws,0.0091,0.92,0.3588
