src,out,resamp,crs,sec_or_err
AET_resamp_1000.0_resamp_1500.0.tif,aet.tif,BILINEAR,EPSG:26912->EPSG:3005,1.0
Aspect_BC_resamp_1000.0_resamp_1500.0.tif,aspect.tif,NEAREST,EPSG:26912->EPSG:3005,1.1
BC_mask_resamp_1000.0_resamp_1500.0.tif,bc_mask.tif,BILINEAR,EPSG:26912->EPSG:3005,1.0
Distance_from_households_BC_500m_resamp_1000.0_resamp_1500.0.tif,distance_from_households.tif,BILINEAR,EPSG:26912->EPSG:3005,1.0
Distance_from_rivers_BC_500m_resamp_1000.0_resamp_1500.0.tif,distance_from_rivers.tif,BILINEAR,EPSG:26912->EPSG:3005,1.1
Distance_to_roads_BC_500m_resamp_1000.0_resamp_1500.0.tif,distance_to_roads.tif,BILINEAR,EPSG:26912->EPSG:3005,1.0
Elevation_BC_500m_resamp_1000.0_resamp_1500.0.tif,elevation.tif,BILINEAR,EPSG:26912->EPSG:3005,1.1
LULC_resamp_1000.0_resamp_1500.0.tif,lulc.tif,NEAREST,EPSG:26912->EPSG:3005,1.2
NDVI_BC_500m_resamp_1000.0_resamp_1500.0.tif,ndvi.tif,BILINEAR,EPSG:26912->EPSG:3005,1.1
PDSI_resamp_1000.0_resamp_1500.0.tif,pdsi.tif,BILINEAR,EPSG:26912->EPSG:3005,1.2
Precip_resamp_1000.0_resamp_1500.0.tif,precip.tif,BILINEAR,EPSG:26912->EPSG:3005,1.1
Profile_curv_BC_resamp_1000.0_resamp_1500.0.tif,profile_curv.tif,BILINEAR,EPSG:26912->EPSG:3005,1.2
RH_resamp_1000.0_resamp_1500.0.tif,rh.tif,BILINEAR,EPSG:26912->EPSG:3005,1.1
SM_resamp_1000.0_resamp_1500.0.tif,sm.tif,BILINEAR,EPSG:26912->EPSG:3005,1.1
Slope_BC_resamp_1000.0_resamp_1500.0.tif,slope.tif,BILINEAR,EPSG:26912->EPSG:3005,1.2
TWI_BC_500m_resamp_1000.0_resamp_1500.0.tif,twi.tif,BILINEAR,EPSG:26912->EPSG:3005,1.2
WS_resamp_1000.0_resamp_1500.0.tif,ws.tif,BILINEAR,EPSG:26912->EPSG:3005,1.1
plan_curv_BC_resamp_1000.0_resamp_1500.0.tif,plan_curv.tif,BILINEAR,EPSG:26912->EPSG:3005,1.2
temp_resamp_1000.0_resamp_1500.0.tif,temp.tif,BILINEAR,EPSG:26912->EPSG:3005,1.1
