Series,Units,n,Theil-Sen slope,95% CI,Block-bootstrap 95% CI,lag-1 resid ACF,ACF bound,Interpretation
Area burned,ha/yr,25,"16,645","[826.2, 51,686]","[5,087, 28,814]",+0.078,±0.392,increasing
Fires >=70 ha,fires/yr,25,3,"[0.000e+00, 7.235]","[0.6122, 5.349]",-0.066,±0.392,not distinguishable from zero
Max temperature,degC/yr,25,0.0762,"[0.03782, 0.1198]","[0.04251, 0.1079]",+0.130,±0.392,increasing
Mean temperature,degC/yr,25,0.07018,"[0.04191, 0.0995]","[0.04454, 0.09375]",+0.008,±0.392,increasing
Min temperature,degC/yr,25,0.06488,"[0.03564, 0.08318]","[0.04311, 0.08442]",-0.102,±0.392,increasing
Wind speed,m/s/yr,25,0.00143,"[-0.00643, 0.009134]","[-0.005493, 0.008487]",+0.143,±0.392,not distinguishable from zero
Relative humidity,%/yr,25,-0.07282,"[-0.1996, 0.03823]","[-0.1652, 0.01549]",-0.041,±0.392,not distinguishable from zero
Precipitation,mm/mo/yr,25,-0.1136,"[-0.5923, 0.4915]","[-0.4602, 0.2206]",-0.074,±0.392,not distinguishable from zero
Evapotranspiration,mm/mo/yr,25,0.08149,"[-0.1556, 0.3127]","[-0.07325, 0.2488]",-0.174,±0.392,not distinguishable from zero
PDSI,index/yr,25,0.01402,"[-0.1095, 0.1139]","[-0.06912, 0.09064]",+0.164,±0.392,not distinguishable from zero
Soil moisture,mm/yr,25,-0.106,"[-0.5397, 0.3067]","[-0.4607, 0.2349]",+0.046,±0.392,not distinguishable from zero
Specific humidity,kg/kg/yr,25,2.884e-05,"[1.661e-05, 4.034e-05]","[1.916e-05, 3.900e-05]",+0.017,±0.392,increasing
