series,n,sen,unit,CI_95,verdict,lag1_acf,tau
Number of ≥70 ha fires,25,3.0,fires yr⁻¹,"[0, 7.2353]",NOT distinguishable from zero,-0.0652392557121401,0.2914609664251714
Area burned,25,16645.27722222222,ha yr⁻¹,"[826.21, 51686]",distinguishable from zero,0.0766115598202017,0.3733333333333332
Evapotranspiration,25,0.081491091122115,mm mo⁻¹ yr⁻¹,"[-0.15558, 0.31269]",NOT distinguishable from zero,-0.1675787388857429,0.1199999999999999
Max temperature,25,0.0762006682291666,°C yr⁻¹,"[0.037822, 0.11978]",distinguishable from zero,0.1256964390459108,0.5333333333333332
Mean temperature,25,0.0701767089374999,°C yr⁻¹,"[0.04191, 0.099502]",distinguishable from zero,0.0086154533312978,0.5799999999999998
Min temperature,25,0.0648834557013889,°C yr⁻¹,"[0.035636, 0.083182]",distinguishable from zero,-0.1009384607977095,0.5466666666666665
Relative humidity,25,-0.0728217770833331,% yr⁻¹,"[-0.19957, 0.038232]",NOT distinguishable from zero,-0.04033530555442,-0.1866666666666666
Wind speed,25,0.0014298942187499,m s⁻¹ yr⁻¹,"[-0.0064297, 0.0091342]",NOT distinguishable from zero,0.1427994660085811,0.0533333333333333
Precipitation,25,-0.1135901897708332,mm mo⁻¹ yr⁻¹,"[-0.59229, 0.49154]",NOT distinguishable from zero,-0.0736410732924601,-0.0466666666666666
Soil moisture,25,-0.1060490309722214,mm yr⁻¹,"[-0.5397, 0.30675]",NOT distinguishable from zero,0.0448340556934203,-0.0666666666666666
Palmer Drought Severity Index,25,0.0140198989818181,yr⁻¹,"[-0.10947, 0.11391]",NOT distinguishable from zero,0.1496078862308499,0.0266666666666666
Specific humidity,25,2.8835910814117884e-05,kg kg⁻¹ yr⁻¹,"[1.6613e-05, 4.0343e-05]",distinguishable from zero,0.0162214355175696,0.5333333333333332
